timestamp,open,high,low,close,volume
1772409900000,31.72400,31.89800,31.72400,31.85800,1941.87
1772409960000,31.86000,31.86000,31.75900,31.77100,782.02
1772410020000,31.78300,31.87800,31.77200,31.87800,224.00
1772410080000,31.86800,31.94900,31.83500,31.89400,1118.68
1772410140000,31.91500,31.92200,31.87200,31.90600,279.62
1772410200000,31.92000,32.03800,31.91900,31.93000,1377.88
1772410260000,31.96100,32.04800,31.94500,31.94500,800.61
1772410320000,31.94600,31.96500,31.85100,31.85500,732.63
1772410380000,31.85600,31.86400,31.83600,31.83600,293.45
1772410440000,31.83600,31.90900,31.81300,31.82300,1155.54
1772410500000,31.81500,31.81500,31.76300,31.80800,1001.41
1772410560000,31.79300,31.98600,31.77500,31.98600,597.85
1772410620000,31.99100,32.09000,31.91900,31.92400,2139.86
1772410680000,31.92900,32.04000,31.92000,32.01900,998.69
1772410740000,32.04600,32.04600,32.00100,32.04500,244.45
1772410800000,32.07900,32.12200,32.07300,32.10400,930.06
1772410860000,32.10600,32.15700,32.10600,32.15000,797.06
1772410920000,32.15600,32.34900,32.15600,32.30600,2140.51
1772410980000,32.30300,32.54700,32.30300,32.52200,5033.65
1772411040000,32.53200,32.63200,32.47900,32.63200,4959.04
1772411100000,32.62700,32.63600,32.53800,32.63300,3673.91
1772411160000,32.63900,32.71600,32.59400,32.69000,3492.92
1772411220000,32.69500,32.69500,32.57200,32.58600,2192.00
1772411280000,32.57200,32.57200,32.45800,32.45800,1744.66
1772411340000,32.46400,32.57500,32.46400,32.57500,1411.63
1772411400000,32.55200,32.56400,32.45800,32.47000,848.65
1772411460000,32.47400,32.48200,32.34000,32.38000,936.66
1772411520000,32.37300,32.37300,32.28200,32.28200,980.81
1772411580000,32.28900,32.28900,32.24100,32.24500,985.71
1772411640000,32.25400,32.29300,32.21600,32.22800,792.62
1772411700000,32.22400,32.28400,32.21600,32.27200,1156.25
1772411760000,32.25800,32.27200,32.21000,32.21000,312.57
1772411820000,32.21000,32.26900,32.17200,32.23100,446.36
1772411880000,32.26000,32.38400,32.26000,32.38000,597.09
1772411940000,32.36200,32.38500,32.32100,32.38300,496.63
1772412000000,32.38600,32.42100,32.29500,32.29500,730.03
1772412060000,32.29800,32.38200,32.27100,32.37400,864.36
1772412120000,32.38800,32.43700,32.36500,32.39400,4978.64
1772412180000,32.39100,32.44400,32.38400,32.39000,370.52
1772412240000,32.37600,32.47600,32.37600,32.47600,221.27
1772412300000,32.48100,32.53400,32.45000,32.46700,1459.93
1772412360000,32.46600,32.48500,32.41300,32.46400,619.78
1772412420000,32.45100,32.50500,32.41500,32.48500,834.29
1772412480000,32.46700,32.52800,32.46700,32.51000,1032.96
1772412540000,32.48500,32.49400,32.44700,32.48700,527.83
1772412600000,32.46300,32.46300,32.39600,32.42100,168.78
1772412660000,32.41800,32.47900,32.41800,32.42200,164.39
1772412720000,32.41300,32.53900,32.41300,32.48700,288.52
1772412780000,32.52400,32.54700,32.50500,32.52600,511.56
1772412840000,32.51500,32.53100,32.46300,32.49900,376.77
