1776744420000,"0.00048520","0.00048520","0.00046840","0.00047960","38858191"
1776744480000,"0.00047720","0.00048800","0.00046947","0.00048400","35428689"
1776744540000,"0.00048400","0.00049000","0.00047775","0.00047970","43834166"
1776744600000,"0.00048198","0.00048811","0.00047513","0.00047887","20427652"
1776744660000,"0.00048178","0.00048883","0.00047600","0.00048000","30403320"
1776744720000,"0.00047807","0.00048044","0.00046974","0.00046974","16122337"
1776744780000,"0.00046800","0.00046983","0.00046101","0.00046758","24986071"
1776744840000,"0.00046760","0.00047580","0.00045999","0.00046520","30911763"
1776744900000,"0.00046201","0.00046202","0.00044800","0.00045484","10050537"
1776744960000,"0.00045203","0.00046200","0.00045013","0.00046200","17573952"
1776745020000,"0.00046200","0.00047000","0.00046200","0.00046600","23447840"
1776745080000,"0.00046600","0.00046600","0.00046144","0.00046600","11109119"
1776745140000,"0.00046760","0.00047000","0.00046320","0.00046599","23278677"
1776745200000,"0.00046280","0.00046323","0.00045282","0.00045282","14790878"
1776745260000,"0.00045200","0.00045800","0.00044831","0.00045563","24127815"
1776745320000,"0.00045700","0.00045980","0.00045563","0.00045774","5015965"
1776745380000,"0.00045960","0.00046200","0.00045563","0.00045801","13018975"
1776745440000,"0.00046199","0.00046568","0.00045734","0.00045760","9854305"
1776745500000,"0.00045760","0.00045763","0.00044755","0.00044880","48981573"
1776745560000,"0.00045080","0.00045230","0.00044200","0.00044756","47607392"
1776745620000,"0.00044801","0.00045000","0.00044755","0.00045000","3809422"
1776745680000,"0.00045000","0.00045000","0.00044271","0.00044755","5493673"
1776745740000,"0.00044400","0.00044512","0.00044037","0.00044038","24180483"
1776745800000,"0.00044360","0.00044511","0.00044360","0.00044511","2792242"
1776745860000,"0.00044512","0.00045413","0.00043791","0.00043791","45764432"
1776745920000,"0.00043791","0.00044272","0.00043200","0.00044118","44509434"
1776745980000,"0.00044100","0.00044967","0.00043554","0.00044967","11456084"
1776746040000,"0.00044856","0.00045364","0.00044279","0.00045041","25765937"
1776746100000,"0.00044800","0.00045879","0.00044755","0.00045001","22438371"
1776746160000,"0.00045001","0.00045360","0.00044755","0.00044997","1661535"
1776746220000,"0.00044755","0.00046257","0.00044755","0.00045801","6899126"
1776746280000,"0.00045996","0.00046256","0.00045590","0.00046200","9434295"
1776746340000,"0.00046140","0.00046257","0.00045939","0.00045951","5555795"
1776746400000,"0.00045802","0.00045802","0.00045202","0.00045320","9286935"
1776746460000,"0.00045560","0.00046980","0.00045560","0.00046687","23279463"
1776746520000,"0.00046680","0.00047000","0.00046403","0.00046849","13750984"
1776746580000,"0.00046800","0.00047622","0.00046500","0.00047359","25788146"
1776746640000,"0.00047359","0.00049000","0.00047359","0.00047446","68411012"
1776746700000,"0.00047520","0.00048908","0.00047520","0.00048799","28499256"
1776746760000,"0.00048699","0.00049540","0.00048507","0.00048999","65813756"
1776746820000,"0.00048999","0.00049330","0.00047728","0.00047949","26966284"
1776746880000,"0.00047882","0.00047882","0.00046714","0.00047195","29871791"
1776746940000,"0.00047192","0.00047401","0.00046938","0.00046938","16405196"
1776747000000,"0.00046800","0.00047200","0.00046600","0.00046861","4672830"
1776747060000,"0.00047200","0.00048416","0.00047067","0.00047067","16230117"
1776747120000,"0.00047067","0.00047100","0.00046538","0.00046567","8016274"
1776747180000,"0.00046800","0.00047237","0.00046327","0.00046340","9428582"
1776747240000,"0.00046340","0.00047000","0.00045400","0.00045400","15621331"
1776747300000,"0.00045400","0.00046517","0.00045280","0.00045320","26608786"
1776747360000,"0.00045200","0.00046110","0.00045080","0.00045477","19815219"
1776747420000,"0.00045560","0.00045900","0.00045318","0.00045600","19927328"
1776747480000,"0.00045600","0.00046228","0.00044851","0.00045179","27575780"
1776747540000,"0.00045179","0.00045345","0.00044095","0.00044800","52955925"
1776747600000,"0.00044697","0.00045100","0.00042335","0.00043501","140185846"
1776747660000,"0.00043560","0.00044120","0.00042679","0.00043300","49355042"
1776747720000,"0.00043351","0.00043980","0.00042851","0.00042906","28674275"
1776747780000,"0.00043149","0.00044000","0.00043148","0.00043979","13173072"
1776747840000,"0.00043979","0.00044489","0.00043604","0.00043920","11769743"
1776747900000,"0.00043824","0.00044406","0.00043787","0.00043849","12727643"
1776747960000,"0.00043980","0.00044040","0.00041290","0.00042848","49522823"
1776748020000,"0.00042550","0.00043920","0.00042408","0.00043600","17461763"
1776748080000,"0.00043500","0.00043500","0.00043200","0.00043500","20134723"
1776748140000,"0.00043500","0.00043500","0.00042849","0.00043380","18373625"
1776748200000,"0.00043450","0.00043500","0.00043320","0.00043380","9528157"
1776748260000,"0.00043380","0.00043620","0.00042975","0.00043440","20364415"
1776748320000,"0.00043440","0.00043440","0.00042605","0.00042701","13810017"
1776748380000,"0.00042700","0.00042840","0.00042500","0.00042840","12244702"
1776748440000,"0.00042656","0.00042811","0.00042307","0.00042500","4969106"
1776748500000,"0.00042500","0.00043140","0.00042423","0.00042840","20735107"
1776748560000,"0.00042780","0.00043299","0.00042513","0.00043200","25440380"
1776748620000,"0.00043263","0.00043587","0.00043200","0.00043521","16123009"
1776748680000,"0.00043585","0.00044160","0.00043200","0.00044100","46827844"
1776748740000,"0.00043980","0.00044040","0.00043428","0.00043586","12433909"
1776748800000,"0.00043462","0.00043462","0.00042640","0.00042850","42521011"
1776748860000,"0.00042998","0.00043400","0.00042462","0.00042967","8452761"
1776748920000,"0.00042850","0.00043320","0.00042420","0.00042699","20658212"
1776748980000,"0.00042698","0.00042699","0.00042100","0.00042100","13786725"
1776749040000,"0.00042180","0.00042687","0.00042100","0.00042100","10723821"
1776749100000,"0.00042100","0.00042480","0.00042100","0.00042301","8747297"
1776749160000,"0.00042302","0.00043267","0.00042301","0.00043003","17745502"
1776749220000,"0.00043001","0.00043080","0.00042700","0.00042700","10484004"
1776749280000,"0.00042700","0.00042846","0.00042596","0.00042596","5733342"
1776749340000,"0.00042597","0.00042601","0.00042400","0.00042400","13836586"
1776749400000,"0.00042315","0.00042315","0.00042009","0.00042036","11294582"
