SAGA,BUY,LIMIT,IOC,4.2,4.5772023,4.5057000,FILLED,4.2,4.2,1712934026578,19.224249659999998
ONG,BUY,LIMIT,IOC,519,0.5903031,0.5816900,FILLED,519,519,1712934028413,306.3673089
BCH,BUY,LIMIT,IOC,2.222,583.65,580.87,FILLED,0.857,2.222,1712934028511,1296.8703
ONT,SELL,LIMIT,IOC,1168.4,0.4275,0.4339,FILLED,1168.4,1168.4,1712934035514,499.49100000000004
TAO,BUY,LIMIT,IOC,0.085,591.57,582.78,FILLED,0.085,0.085,1712934036175,50.28345000000001
BCH,BUY,LIMIT,IOC,0.108,584.18,581.30,FILLED,0.108,0.108,1712934043131,63.09143999999999
JTO,BUY,LIMIT,IOC,24,3.708634,3.657712,FILLED,1,24,1712934045093,89.007216
AR,SELL,LIMIT,IOC,5.3,27.774,28.186,FILLED,5.3,5.3,1712934045586,147.2022
ONG,BUY,LIMIT,IOC,463,0.5913130,0.5836700,FILLED,463,463,1712934047231,273.777919
DOGE,BUY,LIMIT,IOC,23308,0.193245,0.192472,FILLED,860,23308,1712934047585,4504.15446
SOL,BUY,LIMIT,IOC,17,168.8059,168.0370,FILLED,4,17,1712934050067,2869.7003
DOGE,BUY,LIMIT,IOC,9903,0.193432,0.192520,FILLED,3420,9903,1712934050421,1915.557096
ONG,BUY,LIMIT,IOC,2155,0.5918255,0.5847090,FILLED,748,2155,1712934050517,1275.3839525
HFT,SELL,LIMIT,IOC,267,0.3785524,0.3862000,FILLED,267,267,1712934063172,101.0734908
AR,SELL,LIMIT,IOC,6.0,27.758,28.176,FILLED,5.3,6.0,1712934065161,166.548
ONG,BUY,LIMIT,IOC,42,0.5931678,0.5837800,FILLED,26,42,1712934067304,24.913047600000002
ENA,SELL,LIMIT,IOC,883,1.2530248,1.2720000,FILLED,23,883,1712934068569,1106.4208984
SAGA,BUY,LIMIT,IOC,12.6,4.5791863,4.5137000,FILLED,12.6,12.6,1712934072194,57.697747379999996
SAGA,BUY,LIMIT,IOC,228.7,4.5826594,4.5186000,FILLED,228.7,228.7,1712934075105,1048.05420478
SAGA,BUY,LIMIT,IOC,575.9,4.5831824,4.5222682,FILLED,38.6,575.9,1712934076116,2639.45474416
ENA,SELL,LIMIT,IOC,2349,1.2512425,1.2690000,FILLED,89,2349,1712934076252,2939.1686325
ATOM,SELL,LIMIT,IOC,36.59,10.460,10.522,FILLED,36.59,36.59,1712934076344,382.73140000000006
HFT,SELL,LIMIT,IOC,1476,0.3779828,0.3856636,FILLED,537,1476,1712934076485,557.9026128
AR,SELL,LIMIT,IOC,1.4,27.749,28.163,FILLED,1.4,1.4,1712934076583,38.8486
ENA,SELL,LIMIT,IOC,43,1.2504692,1.2700000,FILLED,43,43,1712934077273,53.770175599999995
SAGA,BUY,LIMIT,IOC,49.5,4.5884180,4.5248935,FILLED,9.8,49.5,1712934078414,227.126691
SAGA,BUY,LIMIT,IOC,8.6,4.5896370,4.5205000,FILLED,8.6,8.6,1712934079539,39.470878199999994
CYBER,SELL,LIMIT,IOC,87.4,11.556508,11.777056,FILLED,0.5,87.4,1712934081054,1010.0387992
AXL,SELL,LIMIT,IOC,401.0,1.2619155,1.2800850,FILLED,69.8,401.0,1712934081054,506.0281155
ATOM,SELL,LIMIT,IOC,69.93,10.458,10.520,FILLED,69.93,69.93,1712934081167,731.3279400000001
PENDLE,SELL,LIMIT,IOC,173,6.1818323,6.3072884,FILLED,10,173,1712934082129,1069.4569879
CYBER,SELL,LIMIT,IOC,11.2,11.554751,11.779142,FILLED,9.6,11.2,1712934083702,129.41321119999998
HFT,SELL,LIMIT,IOC,465,0.3774310,0.3851148,FILLED,15,465,1712934084589,175.505415
AR,SELL,LIMIT,IOC,13.4,27.735,28.177,FILLED,12.3,13.4,1712934091233,371.649
AR,SELL,LIMIT,IOC,2.8,27.714,28.131,FILLED,2.8,2.8,1712934092264,77.5992
AR,SELL,LIMIT,IOC,3.6,27.707,28.128,FILLED,3.6,3.6,1712934094378,99.74520000000001
AR,SELL,LIMIT,IOC,2.2,27.696,28.117,FILLED,2.2,2.2,1712934096195,60.93120000000001
AR,SELL,LIMIT,IOC,1.0,27.690,28.126,FILLED,1.0,1.0,1712934097491,27.69
BEL,SELL,LIMIT,IOC,53,1.31755,1.34380,FILLED,53,53,1712934100377,69.83015
CHR,SELL,LIMIT,IOC,743,0.3687,0.3757,FILLED,141,743,1712934101157,273.94410000000005
